Comment,Score,Wing,Sentiment
To thank this man for his service is an understatement. Amazing story and I listen to it every time he is on anywhere.,0.6219548,C,neutrally positive
Dude's been through hell and back..hope everything is well Marcus...you are truly a hero..,0.88123584,C,positive
The first firefight I got into the first thing I felt was relief. I feared it never was going to happen after all the training I've done. Was in bootcamp when 9/11 happened. First firefight happened in Jan 2012 in Helmond. One of the best days of my life and worst days at the same time.,0.79624659,C,neutrally positive
"Marcus is a different type of person. Failing doesn't exist in this mind. Not many people are built like that and it can't be taught, you just have it. He's been through hell and back, literally. Seeing is friends and fellow seals killed before his eyes. All the injuries he's had, and yet, here he is. A broken man inspires millions of people to just be better. Love hearing him tell stories.",0.95040905,C,positive
"I joined the marine corps infantry in 2006 with visons of fallujah in my head. I got put in 1/6 while the battalion was in Ramadi. The guys who came out of that deployment were some of the realest dudes I've ever met. Solid, across the board.",0.89982587,C,positive
"Wow, just wow! I was supposed to train EOD out of high school. Long story short I finished basic and came home. My whole life turned upside down and I don__ think I__e truly recovered still. This makes me want to really change my life! Thanks you you two real men! __",0.73321748,C,neutrally positive
Nice to see Eve get gold after all the games she's been in __,0.73710203,C,neutrally positive
"God bless NHS COVID workers who have passion. Well done, well deserved",0.61418605,C,neutrally positive
That is a great news. Fingers crossed for more such a great successes,0.87187141,C,positive
"I am __ sorry, I feel extremely embarrassed for the  once mighty United Kingdom. 
One gold medal and a bronze? What the?",0.12760638,C,negative
Congrats,0.63618439,C,neutrally positive
Curling might be my new favourite Olympic sport,0.8378312,C,positive
Team Scotland wins again well done team Scotland ____________________________________________________________________________________,0.79070294,C,neutrally positive
Curling finally comes home to Scotland where it belong.,0.96562773,C,positive
We are so rubbish ______,0.10691398,C,negative
Trust the Scots to come good _________________,0.63856578,C,neutrally positive
Kindly remember Afghanistan ____please.,0.74098474,C,neutrally positive
Only medal from brushing ice with a broom,0.83940077,C,positive
England____________________________,0.3774507,C,neutrally negative
Just one medal in curling? Not much. Should be training harder next time.,0.85113341,C,positive
I gained allot today,0.75617164,C,neutrally positive
It's curling zzzzzzzzzz Scottish zzzzzzzzzz women's sport zzzzzzzzzz yawn.,0.5868634,C,neutral
"How on earth is curling an Olympic sport.
Its housework on ice.",0.7642526,C,neutrally positive
"So Russia who can__ even complete as a country win 32 medals and UK won 2 in total.
Lol clowns",0.69084811,C,neutrally positive
But they were expecting between 5 and 7 medals!   What went wrong?,0.17150429,C,negative
No one cares,0.53988206,C,neutral
We have absurdly tried to cram the vast spectrum of political policy positions and ideologies into just two categories. What long term outcome would you expect other than bitter stalemate and division? We should be looking into legislation that would allow for many parties to have political viability rather than the all or nothing model we currently have. I think if we allowed a many party system to form temporary coalitions we could actually get popular policies passed. I think we__ all be surprised to see how much common ground actually exists once you break through the artificial binary.,0.25730395,C,neutrally negative
"10 years ago she considered the 60 vote threshold to be ""arbitrary."" What changed?",0.52917856,C,neutral
But she certainly going to lose her spot because I don't see her winning a Democratic primary and I don't see any Republicans voting for her.,0.34733209,C,neutrally negative
Excellent argument Senator!,0.6838485,C,neutrally positive
I'm so very grateful that we still have a few courageous senators who don't forfeit common sense and wisdom in order to join together with the immediate pressures of their party. I hope the people of Arizona reward such courage this next election rather than punish it as the bantering big voices would have them.,0.63666058,C,neutrally positive
"You have the right if you__e a grown up citizen with an ID, period.",0.59837735,C,neutral
"We need live, public debate in politics.  Not only with politicians, but with public input as well. This going back and forth, criticizing one another, is for the birds.  I for one would profit from that.",0.37504667,C,neutrally negative
didn't biden try to say somethign along the same lines and yet he instantly trys to be a dictator,0.64760917,C,neutrally positive
"Thank You couldn't said any better, You are respected"".",0.70658201,C,neutrally positive
Well said,0.50271755,C,neutral
Hot and smart! I love it!,0.84633255,C,positive
Thats why god put me here for do something for my people,0.73364073,C,neutrally positive
Well said!,0.61867982,C,neutrally positive
I want the power free for all the world,0.80412817,C,positive
""" Dont mess with my queenie or i mess with your nose, you can stand there schemin,dont you dare step on my toes. [ Every man should know ]  you cant take what you dont own. To own a Body you got to own a Soul. - Blackfoot... Time has multipled the relevance of the words of wisdom.",0.53984475,C,neutral
"Nice speech. It would be better if a Republican was in her seat.
The 2018 Arizona Senate Election was the rehearsal for 2020.",0.79245842,C,neutrally positive
"Dr. Martin Luther King quote: ""I have almost reached the regrettable conclusion that the Negro's great stumbling block in the stride toward freedom is not the White Citizen's Council-er or the Ku Klux Klanner, but the white moderate who is more devoted to ""order"" than to justice; who prefers a negative peace which is the absence of tension to a positive peace which is the presence of justice; who constantly says ""I agree with you in the goal you seek, but I can't agree with your methods of direct action;"" who paternalistically feels he can set the timetable for another man's freedom; who lives by the myth of time and who constantly advises the Negro to wait until a ""more convenient season.""",0.70242602,C,neutrally positive
Lady__ Got Balls Of Steel ok __ __ __,0.30285946,C,neutrally negative
I will always hate corporate politicans,0.75181431,C,neutrally positive
honestly why don't we require DNA testing to confirm it's not a fake ID? anyone?,0.3570863,C,neutrally negative
"This man made a healthy work environment, invented sustainable products, employed the use of both machine and man, and managed to preserve traditional pottery techniques combined with the efficiency of the modern day world.",0.94695091,C,positive
"Let me get this straight:

1.  He combines modern technology with traditional craft.  It's ingenious.  
2.  He has blended primitive technology with a high concept and has beat all metrics for environmental efficiency and effectiveness.  It's simple.  
3.  This man is not a national treasure: he is an international treasure.  

This is THE WAY ...",0.86309022,C,positive
"When I was a kid and we were poor, we didn't have a refrigerator, or a actual stove, no hot water, and sometimes no electricity. We cooked on a charcoal brazier. We kept water cool in a clay vase. The evaporation of the water through the clay provided the cooling. The water tasted a bit like clay but we didn't mind.",0.71491867,C,neutrally positive
"I been to his factory.
He is a down to Earth man.
He is loved by his staffs,
That says how humble he is.",0.85524637,C,positive
"Impressive man. I really like the modern redesign of an ancient idea. Perfect for extending the life of fruit and vegetables and eggs and such items. the affordable price and the reason for his decision to make this evaporative cooler is an honourable one that truly deserves the reward of success. We use to make them in outback Australia using Hessian bags for the the wet sides of a box we could hang in a tree, but like all evaporative coolers they only work in a hot and dry environment.",0.94653106,C,positive
This is what you call a smart CEO. He keeps up with everything.,0.84748936,C,positive
"I respect this man, I love the fact he created a environment that is healthy for his people and his country. 
Hats off to you sir.",0.59585863,C,neutral
"This man has done much for his community, family, and the world. Thank you, sir. 
You give me hope.
Awe and respect from the Manitoba Interlake, Canada. You are an inspiration.",0.94720548,C,positive
I just love how he keeps talking about trying to benefit not only the people around him but the earth and preserving nature around him,0.89014441,C,positive
"Depending on costs and availability, I can see this being a viable product in the future.

As someone who enjoys city life, I found that I actually prefer to shop more often and for less food. While I still see myself needing a freezer, This could be a viable solution that uses no electricity and would definitely be enough to keep produce fresh for a couple days. Especially in a more temperate climate.",0.91798955,C,positive
"Saw his TED talk in 2012, back then it was really tough start for him. Glad to see he is doing great now. Idea's & products like these need to be marketed more & more.",0.84092695,C,positive
This is so awesome!!! What an incredible innovator and passionate CEO who obviously also cares about his employees as well as his products.,0.9635725,C,positive
So proud to see the success and recognition of my old country. Brings tears of joy!,0.81154871,C,positive
I absolutely love this man's invention it will save so many from getting sick from spoiled food because he cared about his people.__,0.92474461,C,positive
This guy is a legend bringing back all the traditional work mixing with the machinery work and kudos to carrying their family work and making environment friendly products,0.86094421,C,positive
"Man, the way you can just feel the pride he exudes from his work is so heartwarming. He knows he's done something great..",0.7186892,C,neutrally positive
God bless you.. I really loved how hard so many people work together to make such beautiful products.. ____,0.6013816,C,neutrally positive
"The pride in his work is so relatable _¤© he is being earth friendly, a smart entrepreneur and his products reach all classes ______",0.84454203,C,positive
I'm always amazed at their humbleness and hardworking culture.,0.84157151,C,positive
"This man is brave, launching a new product like that and also wearing a white shirt in such a dusty environment __",0.50861973,C,neutral
Listen to Marvel Comics and get a two free originals and a 30-day trial of Audible (and support this channel): https://www.audible.com/legaleagle,0.81701887,C,positive
"Yes, recently it has come to everyone's attention that Matt Murdoch is a really good lawyer. Hope no one throws a brick at him.",0.63489801,C,neutrally positive
"For context's sake: Foggy isn't an experienced lawyer, that's why he was so nervous and thought that woman was good. Foggy has a bit of an impostor syndrome when Matt isn't around, which he overcomes later",0.80040693,C,positive
"Me: oh wow these guys are making pretty good points here.

Lawyer: this is completely irrelevant and not realistic.

Me now: pfhh this is a complete mockery of the legal system and is completely unrealistic.",0.04191936,C,negative
"God I miss Daredevil, it may not be the most accurate lawyer wise, but it was such a great show. I__ rewatching it right now and I LOVED the whole Frank Castle prequel and season 3 is so damn dark and good. I wish it wasn__ cancelled, S3 got rave reviews.",0.99445409,C,positive
*PLOT TWIST: this lawyers ACTUALLY a hardened vigilante at night and lied about some of these lies to throw away suspicion on his nightly activities*,0.39806136,C,neutrally negative
"With a client like Frank Castle constantly incriminating himself, it's almost impossible to defend him.",0.50449282,C,neutral
"I surprised that none of the lawyers I've seen react to Daredevil ever mention the fact that the SECRETARY (Karen) is far too involved in the court proceedings. This would breach so many ethical codes, even for small law firms.",0.56773841,C,neutral
"I wish you had actually watched the show instead of just the trial itself, because a lot of the issues you point out and questions you asked have would all be resolved and answered. While all the things you said are clearly correct, they are kinda the point of the trial in the show. 

Matt showing up late and becoming unreliable because of his vigilante-ing is a major point of conflict between him and his team. This tension, and the loss of this case actually causes them to shut down their law firm, and nearly totally destroys their longterm friendship. 

Their longshot defense strategies are only because Frank is pretty much indefensible. The only reason they took the case in the first place is because irregularities, or rather flat out lies, in the witness reports of Karen Page, when she talked with the court appointed public defender. Leading them to believe some foul play/tampering had taken place to ensure a conviction. They also learned that the DA wanted to extradite Castle to Delaware, where he could be given the death penalty. Come to find out the DA was planning on using this case as a springboard for her own agenda, and she didn't care about actual justice. Them putting Castle on the stand, they knew was a terrible idea, but they concluded they didn't really have a choice after the medical examiner's testimony was thrown out. And that decision led directly to them losing the case in dramatic fashion.

You pointed out that they hadn't even spoken with Frank before the trial. This is for 2 reasons. First, they took on the case 2 days before the trial, to attempt to help Frank because of the suspected tampering. And second, Frank refused to speak with Matt and Foggy, he would only speak to Karen, because he learned she broke into his home in her own personal, illegal investigation, a place where he hadn't even been since his family died. So they technically had communicated with Frank, just not directly, basically using Karen as a middle man.",0.23521906,C,neutrally negative
"Despite missing the opening statement, I can confirm that, canonically, Matt Murdock is really good lawyer",0.91135657,C,positive
"""there can't possibly be any classified information left""? There absolutely can. He refuses to disclose the objective of the mission, the exact numbers or location, or even the precise date. Telling a lawyer that they had a mission in a general area and faced an unexpected threat is hardly disclosing confidential information. It's similar to the difference between firing an employee because someone saw them doing something they shouldn't have been doing, and saying they're fired because Karen saw them smoking crack behind the dumpster out back. The (dare)devil is in the details.",0.46624619,C,neutral
"So when treating someone as a hostile witness, you CAN'T punch them in the face?",0.57874709,C,neutral
"LegalEagle:  This is actually somewhat realistic
Matt:  I'm about to end this mans career *Let me tell you what kind of man you are*",0.48447555,C,neutral
Mat murdock is late to the trial but he can still hear the trial for miles away so he can catching up with the trial at least,0.88250518,C,positive
"Yeah.. this wasn__ the best Daredevil courtroom scene to cover. John Healy or the chemical company case at the beginning of The Defenders would be a better show of Matt as Matt Murdock, season 2 was much more about him as Daredevil.",0.28433028,C,neutrally negative
"And in Matt's defense as a lawyer, this scene is from the 2nd season, which is basically about Matt's personal life and vigilante life falling apart and him not being able to balance the two. That's why he was late and a bad lawyer, he's usually brilliant in normal circumstances (not talking about the realist lawyer stuff, just his professionalism).",0.80430579,C,positive
Objection: what the Colonel covered is within the bounds of information that is usually declassified for public record. He didn__ give a particular date or location. He did not name any participants aside from himself and Castle. He also did not name the organization or group of combatants they were fighting,0.74982858,C,neutrally positive
"I have a genuine question: everything about the court case was  about proving that Frank wasn't entirely responsible for his own actions, right? Because of brain damage etc? Then why does his outburst at the end have any bearing on the trial? If anything doesn't seemingly tanking your own argument provide more evidence that he isn't right in the head?",0.29804513,C,neutrally negative
"""Lawyer's gotta have a side hustle I guess""
Says a lawyer as part of his side hustle :)",0.45785806,C,neutral
You have to appreciate that the showrunners showed the exact moment that Frank realized Matt was Daredevil.,0.69670904,C,neutrally positive
Because your modeling has worked so well so far.  Including the virus itself - just a computer model.,0.65086681,C,neutrally positive
When was ever the modeling ever right.  They had same modeling in England and it was total wrong!,0.09763572,C,negative
"These models estimate the ""true"" number of cases....how can estimates of a possible future event be ""true"".",0.42221311,C,neutral
how have those restrictions helped?  we're worse off now than we ever were during the pandemic... and we had vaccines for the past 6 months.  Tam and all Health officials for the provinces should resign,0.71922427,C,neutrally positive
"Sure, the restrictions have worked great so far.  Government response to this has been a total clown car with Trudeau driving and this guy Tam riding shotgun.",0.56135398,C,neutral
"Do tell Mr. Tam, why are the double vaxed and a booster being tested positive for covid 19 and are the ones in the hospital ?????",0.33570948,C,neutrally negative
"How will restrictions help omicron peak earlier??? Surely if we allow it to spread,then it would peak much sooner?",0.67399114,C,neutrally positive
"Should, could, might. These 'doctors' are government talking heads.  just my opinion",0.67990619,C,neutrally positive
"Naturally the lines don't prove anything. They just graph varying assumptions. These presentations raise concerns. For instance, the YouTube headline says ""restrictions will help Canada reach Omicron peak sooner"". Of course that's not proven by the graph, just an assumption of the person who drew it.",0.47343302,C,neutral
"____...Welcome back, my friends...to the show that NEVER ends...we're so glad you could attend...step inside...step inside...____           _¤¦_____ï¸",0.67399532,C,neutrally positive
"Because the ""modeling"" has proven to be oh so accurate during these past two years, hasn't it.",0.75059527,C,neutrally positive
"Always worst case scenario.... if it actually worked like that in the real world.
Just a reminder... the true racists in Canada wear blackface... or those that look at someone wearing blackface, see that someone else shares their values, and says 'I need this person to represent me.'",0.48435867,C,neutral
she never got any of them right from start of this flu so why would one think she could now.. love to know who is lining her pockets and how much...,0.23414926,C,neutrally negative
Wait for a war....the war on the unvaccinated.....continues,0.70709002,C,neutrally positive
"The modeling is ridiculous, it has never ever been accredit.",0.09784044,C,negative
"Are these the same modelling formuli that have been so...accurate? LOL, I can't say it with a straight face.",0.45642745,C,neutral
"These models estimate the ""true"" number of cases....how can estimates of a possible future event be ""true"".",0.42221311,C,neutral
"Nothing to see here folks! Big nothing burger! Move a long, take the masks off! Thank you have a great day! _____",0.74704581,C,neutrally positive
Because your modeling has worked so well so far.  Including the virus itself - just a computer model.,0.65086681,C,neutrally positive
Let's reach the Omicron peak sooner in anticipation for the next variant . . . . . . yehey more restrictions to come,0.59863907,C,neutral
"I don't think ""transplants"" should be solely blamed for gentrification. It's a policy issue. Local politicians should be held accountable for not providing enough affordable housing for current residents while they also improve the neighborhood.",0.78630543,C,neutrally positive
I__l never understand how someone can think that a person doesn__ deserve a home simply because they didn__ __ork as hard_ as someone else. I don__ see human compassion in that logic at all. __,0.6183846,C,neutrally positive
"Take Harlem for instance. Harlem , NY is a big part of black history and has a very unique, beautiful culture. ""The Harlem Renaissance"" is a big part of African-American history. It gave birth to many amazing African-American artists, singers, poets, etc. and so much of the renaissance is still engraved in Harlem's culture , there's still art that exist in Harlem that was from that time. And to see a historical place in African-American history being torn down, the art on stores being erased, the locals being replaced with people who have no connection to Harlem and what it means is sad. The history of a place is VERY important, and deserves to be preserved, not torn down, not be replaced.",0.85386997,C,positive
"The flipping of houses - along with speculation and other factors - have made housing so unaffordable, even for those 'educated' and those who used whatever knowledge to do whatever with their lives to arrive at whatever point. I once had a friend tell me that the working-class doesn't  deserve to live in the downtown of a city because it's for the rich. It's sad because without the working-class those fancy office towers wouldn't get cleaned, mopped, you wouldn't get your morning coffee, or your lunchtime sandwich without the working-class, yet people don't see it that way. The working-class make the downtown a liveable place by putting their blood, swear and tears into their minimum wage jobs. Everyone deserves a place to call home, especially when it's a place that would be nothing without them.",0.6019401,C,neutrally positive
i wish there were more questions that connected to gentrification absolutely and without a filter. this was an enlighting episode but i felt like they just beat around the bush for 12 minutes.,0.22612505,C,neutrally negative
"As a realtor myself, I will tell you there is a world full of realtors that do not care about displacing people. When I first got into this field I had tough days hearing my millionaire realtor friends (ex friends now) __oke_ about how they would enjoy displacing poor people. Sure anyone deserves to live where they want, but to full on remove someone knowing they have no where else to go is absolutely disgusting. Till this day me and my wife have never acquired properties with the intention to sell them , without ensuring those who live their aren__ hurt.",0.22569416,C,neutrally negative
"I think for the young lady with the curly hair the business model of gentrification makes sense to her.  However, a lot of owners of these shops often live in the suburbs.  They have their money and business.  I feel more connected to the lady with the dreds when she says to ask the community who ALREADY lives there what they want.  Sometimes buyers, real estate companies, and businesses want feedback from the potential community they want to live there.  It's how people are priced out of their own neighborhoods, or can't afford to shop/eat in their own communities.",0.76639533,C,neutrally positive
You can tell the lady in the shorts has had a tough life. She's been through some things. I hope she gets some sort of break or something.,0.70109326,C,neutrally positive
"I hear that ""stop letting life happen to you"" thing and I hate it. That statement ignores a lot of people's struggles, like there are a lot of things out of people's control and yes you can work around that. But just saying oh you don't deserve something because you didn't earn it is not ok. I agree with the black guy, everyone deserves to live in something. Because you don't know everyone's story and it's easy to assume like Dominique did. But what you think you see is not always what's happening. And I'm aware that some people really don't try and they care but to deny people a place to protect themselves from life, is ridiculous.",0.54167783,C,neutral
Gentrification wouldn__ be bad if it didn__ displace established families,0.85294211,C,positive
The black guy was spot on. He made some really good points.,0.63978183,C,neutrally positive
"Not everyone will be afforded the same opprotunity as others and not every location will grant the same opprotunties as others.  There are over 300 million people in the U.S. So, for ALOT of people, no matter how ""hard you work"", it won't yield the same results as others who work just as hard.",0.56495118,C,neutral
I am the only person whose ever heard the term transplant for movers? Lol interesting,0.51077372,C,neutral
why did i read locals and think *__an locals and twitter stans see eye to eye_*,0.10027,C,negative
The realtor doesn__ think everyone deserves a home lmao?,0.58867037,C,neutral
"Listen Dominque, everyone deserves to have a roof over their head or a place where they can call it HOME. As for Dominque W and Terrence, I love you guys' mentality.",0.65082586,C,neutrally positive
"Dominique: ""I understand that everybody doesn't have the same opportunities, due to our differing backgrounds, but I will then proceed to completely neglect that information and serve yall some good ol captilism clichÃ©s: you get what you deserve and your condition is a result of how hard you work!""",0.09304895,C,negative
"As a local of London I FEEL this. I see the gentrification and the ups and down. I'm speaking from the perspective of a second generation Bengali female. I do feel like leaving for sure but there are little pockets that I want to keep with me. It's hard to explain and I have so much to say about it, like how I want to leave but I don't wanna almost colonise as that's how I feel some of the changes happening here feel. Idk it's a strange feeling, mostly negative but I see the positive but the negatives aren't people taking over but people disrespect long and not regarding the areas past and culture, it's strange. This comment could never justify and does not even hit the tip of the iceberg on what I feel so if your curious I'm down to discuss.
How did I just find out about his video?!?!?",0.51248544,C,neutral
"I wish someone would've brought up the homelessness rates in LA and NY, especially when the relator lady spoke on disagreeing about everyone deserving a place to call home. The accessibility to resources like knowledge, support, or financial stability isn't as available to people on the streets as it is to locals or transplants. I think gentrification plays a big role in how it can affect people on the streets and poor people. There are so many vacant buildings that can house people that are without a home, but I digress.",0.86719662,C,positive
